country,region
Algeria,Africa
Angola,Africa
Benin,Africa
Botswana,Africa
Burkina Faso,Africa
Burundi,Africa
Cabo Verde,Africa
Cameroon,Africa
Central African Republic,Africa
Chad,Africa
Comoros,Africa
Côte d'Ivoire,Africa
Djibouti,Africa
Egypt,Africa
Equatorial Guinea,Africa
Eritrea,Africa
Eswatini,Africa
Ethiopia,Africa
Gabon,Africa
Gambia,Africa
Ghana,Africa
Guinea,Africa
Guinea-Bissau,Africa
Kenya,Africa
Lesotho,Africa
Liberia,Africa
Libya,Africa
Madagascar,Africa
Malawi,Africa
Mali,Africa
Mauritania,Africa
Mauritius,Africa
Morocco,Africa
Mozambique,Africa
Namibia,Africa
Niger,Africa
Nigeria,Africa
Rwanda,Africa
Sao Tome and Principe,Africa
Senegal,Africa
Seychelles,Africa
Sierra Leone,Africa
Somalia,Africa
South Africa,Africa
South Sudan,Africa
Sudan,Africa
Togo,Africa
Tunisia,Africa
Uganda,Africa
United Republic of Tanzania,Africa
Zambia,Africa
Zimbabwe,Africa
Afghanistan,AsiaPacific
Bangladesh,AsiaPacific
Bhutan,AsiaPacific
Cambodia,AsiaPacific
China,AsiaPacific
Fiji,AsiaPacific
India,AsiaPacific
Indonesia,AsiaPacific
Japan,AsiaPacific
Kazakhstan,AsiaPacific
Kyrgyzstan,AsiaPacific
Lao People Democratic Republic,AsiaPacific
Malaysia,AsiaPacific
Maldives,AsiaPacific
Marshall Islands,AsiaPacific
Micronesia,AsiaPacific
Mongolia,AsiaPacific
Myanmar,AsiaPacific
Nauru,AsiaPacific
Nepal,AsiaPacific
New Zealand,AsiaPacific
North Korea,AsiaPacific
Pakistan,AsiaPacific
Palau,AsiaPacific
Papua New Guinea,AsiaPacific
Philippines,AsiaPacific
Republic of Korea,AsiaPacific
Samoa,AsiaPacific
Singapore,AsiaPacific
Solomon Islands,AsiaPacific
Sri Lanka,AsiaPacific
Tajikistan,AsiaPacific
Thailand,AsiaPacific
Timor-Leste,AsiaPacific
Tonga,AsiaPacific
Turkmenistan,AsiaPacific
Tuvalu,AsiaPacific
Uzbekistan,AsiaPacific
Vanuatu,AsiaPacific
Viet Nam,AsiaPacific
Australia,AsiaPacific
Albania,EasternEurope
Armenia,EasternEurope
Azerbaijan,EasternEurope
Belarus,EasternEurope
Bosnia and Herzegovina,EasternEurope
Bulgaria,EasternEurope
Croatia,EasternEurope
Czechia,EasternEurope
Estonia,EasternEurope
Georgia,EasternEurope
Hungary,EasternEurope
Latvia,EasternEurope
Lithuania,EasternEurope
Moldova,EasternEurope
Montenegro,EasternEurope
North Macedonia,EasternEurope
Poland,EasternEurope
Romania,EasternEurope
Russia,EasternEurope
Serbia,EasternEurope
Slovakia,EasternEurope
Slovenia,EasternEurope
Ukraine,EasternEurope
Antigua and Barbuda,GRULAC
Argentina,GRULAC
Bahamas,GRULAC
Barbados,GRULAC
Belize,GRULAC
Bolivia,GRULAC
Brazil,GRULAC
Chile,GRULAC
Colombia,GRULAC
Costa Rica,GRULAC
Cuba,GRULAC
Dominica,GRULAC
Dominican Republic,GRULAC
Ecuador,GRULAC
El Salvador,GRULAC
Grenada,GRULAC
Guatemala,GRULAC
Guyana,GRULAC
Haiti,GRULAC
Honduras,GRULAC
Jamaica,GRULAC
Mexico,GRULAC
Nicaragua,GRULAC
Panama,GRULAC
Paraguay,GRULAC
Peru,GRULAC
Saint Kitts and Nevis,GRULAC
Saint Lucia,GRULAC
Saint Vincent and the Grenadines,GRULAC
Suriname,GRULAC
Trinidad and Tobago,GRULAC
Uruguay,GRULAC
Venezuela,GRULAC
Andorra,WEOG
Austria,WEOG
Belgium,WEOG
Canada,WEOG
Cyprus,WEOG
Denmark,WEOG
Finland,WEOG
France,WEOG
Germany,WEOG
Greece,WEOG
Iceland,WEOG
Ireland,WEOG
Israel,WEOG
Italy,WEOG
Liechtenstein,WEOG
Luxembourg,WEOG
Malta,WEOG
Monaco,WEOG
Netherlands,WEOG
Norway,WEOG
Portugal,WEOG
San Marino,WEOG
Spain,WEOG
Sweden,WEOG
Switzerland,WEOG
Turkey,WEOG
United Kingdom,WEOG
United States of America,WEOG
Bahrain,ArabStates
Iraq,ArabStates
Jordan,ArabStates
Kuwait,ArabStates
Lebanon,ArabStates
Oman,ArabStates
Qatar,ArabStates
Saudi Arabia,ArabStates
Syria,ArabStates
United Arab Emirates,ArabStates
Yemen,ArabStates
Iran (Islamic Republic of),AsiaPacific
Iran,AsiaPacific
