country,income_group
United States of America,High income
Canada,High income
United Kingdom,High income
France,High income
Germany,High income
Japan,High income
Australia,High income
Italy,High income
Spain,High income
Netherlands,High income
Sweden,High income
Norway,High income
Denmark,High income
Finland,High income
Austria,High income
Belgium,High income
Switzerland,High income
New Zealand,High income
Republic of Korea,High income
Israel,High income
Singapore,High income
United Arab Emirates,High income
Qatar,High income
Kuwait,High income
Bahrain,High income
Saudi Arabia,High income
Oman,High income
Iceland,High income
Ireland,High income
Luxembourg,High income
Portugal,High income
Greece,High income
Cyprus,High income
Malta,High income
Czechia,High income
Estonia,High income
Latvia,High income
Lithuania,High income
Slovakia,High income
Slovenia,High income
Hungary,High income
Poland,High income
Croatia,High income
Romania,High income
Bulgaria,High income
Andorra,High income
Monaco,High income
Liechtenstein,High income
San Marino,High income
Brunei Darussalam,High income
Bahamas,High income
Barbados,High income
Trinidad and Tobago,High income
Chile,High income
Panama,High income
Uruguay,High income
China,Upper middle income
Brazil,Upper middle income
Russia,Upper middle income
Mexico,Upper middle income
Argentina,Upper middle income
Colombia,Upper middle income
Peru,Upper middle income
South Africa,Upper middle income
Turkey,Upper middle income
Thailand,Upper middle income
Malaysia,Upper middle income
Iran,Upper middle income
Iraq,Upper middle income
Jordan,Upper middle income
Cuba,Upper middle income
Dominican Republic,Upper middle income
Ecuador,Upper middle income
Guatemala,Upper middle income
Venezuela,Upper middle income
Algeria,Upper middle income
Libya,Upper middle income
Gabon,Upper middle income
Botswana,Upper middle income
Namibia,Upper middle income
Mauritius,Upper middle income
Belarus,Upper middle income
Serbia,Upper middle income
Montenegro,Upper middle income
North Macedonia,Upper middle income
Albania,Upper middle income
Bosnia and Herzegovina,Upper middle income
Azerbaijan,Upper middle income
Armenia,Upper middle income
Georgia,Upper middle income
Kazakhstan,Upper middle income
Turkmenistan,Upper middle income
Jamaica,Upper middle income
Paraguay,Upper middle income
Suriname,Upper middle income
Fiji,Upper middle income
Tonga,Upper middle income
Samoa,Upper middle income
India,Lower middle income
Pakistan,Lower middle income
Bangladesh,Lower middle income
Sri Lanka,Lower middle income
Philippines,Lower middle income
Indonesia,Lower middle income
Viet Nam,Lower middle income
Myanmar,Lower middle income
Cambodia,Lower middle income
Lao People Democratic Republic,Lower middle income
Nepal,Lower middle income
Bhutan,Lower middle income
Mongolia,Lower middle income
Timor-Leste,Lower middle income
Papua New Guinea,Lower middle income
Egypt,Lower middle income
Morocco,Lower middle income
Tunisia,Lower middle income
Sudan,Lower middle income
Nigeria,Lower middle income
Ghana,Lower middle income
Kenya,Lower middle income
Tanzania,Lower middle income
Zambia,Lower middle income
Zimbabwe,Lower middle income
Uganda,Lower middle income
Ethiopia,Lower middle income
Senegal,Lower middle income
Cameroon,Lower middle income
Ivory Coast,Lower middle income
Mali,Lower middle income
Mauritania,Lower middle income
Honduras,Lower middle income
Nicaragua,Lower middle income
El Salvador,Lower middle income
Bolivia,Lower middle income
Guyana,Lower middle income
Uzbekistan,Lower middle income
Kyrgyzstan,Lower middle income
Tajikistan,Lower middle income
Moldova,Lower middle income
Ukraine,Lower middle income
Lebanon,Lower middle income
Syria,Lower middle income
Yemen,Lower middle income
Afghanistan,Low income
Haiti,Low income
Somalia,Low income
South Sudan,Low income
Chad,Low income
Niger,Low income
Burkina Faso,Low income
Guinea,Low income
Guinea-Bissau,Low income
Liberia,Low income
Sierra Leone,Low income
Central African Republic,Low income
Eritrea,Low income
Rwanda,Low income
Burundi,Low income
Malawi,Low income
Mozambique,Low income
Togo,Low income
Benin,Low income
Madagascar,Low income
Democratic Republic of the Congo,Low income
Congo,Low income
Angola,Low income
Djibouti,Low income
Comoros,Low income
Lesotho,Low income
Eswatini,Low income
Gambia,Low income
Sao Tome and Principe,Low income
Equatorial Guinea,Low income
North Korea,Low income
