country,degree_centrality,betweenness_centrality,eigenvector_centrality,degree_rank,betweenness_rank,eigenvector_rank
Turkmenistan,0.14646464646464646,0.12500640927036866,0.00030031436398373365,32,1,60
Yemen Arab Republic,0.10101010101010102,0.12423729682612931,0.002401302397313145,53,2,57
Albania,0.13636363636363638,0.116751269035533,0.10787977890295863,40,3,39
South Korea,0.21717171717171718,0.08019279085268934,0.1482259961675144,19,4,19
Belarus,0.045454545454545456,0.06511818694559812,0.012702231302007082,79,5,54
Hungary,0.14141414141414144,0.03517407578321284,0.11033475395729861,37,6,36
Sudan,0.13131313131313133,0.023688663282571912,9.367600431100037e-05,43,7,61
Yemen People's Republic,0.06565656565656566,0.021945341742296058,7.720677842699439e-05,62,8,68
Ukraine,0.14646464646464646,0.0217402450904989,0.09876042104288757,32,9,41
Malaysia,0.04040404040404041,0.019330359431882275,1.0103743474035726e-05,84,10,94
Cape Verde,0.025252525252525256,0.01471568476644619,1.884962365131789e-06,98,11,114
Sri Lanka,0.045454545454545456,0.013638927344511102,6.551481482532804e-05,79,12,76
Guinea-Bissau,0.015151515151515152,0.013126185715018203,6.689416786103707e-06,111,13,107
Yemen,0.11616161616161617,0.012151976618981696,2.2347260873663798e-05,47,14,84
Saudi Arabia,0.06565656565656566,0.011895605804235246,6.633553715972376e-05,62,15,75
Mauritania,0.05050505050505051,0.011741783315387376,6.651670231148194e-05,74,16,74
Vietnam,0.06060606060606061,0.011485412500640928,0.00039034263742045465,65,17,59
North Korea,0.05555555555555556,0.011280315848843769,1.646417836159631e-05,69,18,87
Somalia,0.07575757575757576,0.010972670871148029,7.670692634163007e-05,58,19,69
Czechoslovakia,0.10101010101010102,0.009383171819720043,0.06123422971744381,53,20,49
Tanzania,0.045454545454545456,0.008819156027277855,6.0678082478405125e-05,79,21,77
German Democratic Republic,0.045454545454545456,0.008614059375480695,0.015189793216280794,79,22,52
Georgia,0.2272727272727273,0.008511511049582116,0.15808631747425508,18,23,18
Germany,0.2474747474747475,0.007844946931241348,0.1794684619612562,4,24,10
Tajikistan,0.020202020202020204,0.007793672768292058,3.8561752067316394e-05,104,25,80
Croatia,0.2474747474747475,0.007434753627647029,0.18005856078080057,4,26,7
Angola,0.04040404040404041,0.00702456032405271,1.2267392411878258e-05,84,27,92
Algeria,0.07070707070707072,0.00687073783520484,8.557775194328132e-05,60,28,64
Italy,0.19191919191919193,0.006819463672255551,0.14386510583674625,20,29,21
Niger,0.030303030303030304,0.006768189509306261,8.408240402299142e-06,92,30,100
Zimbabwe,0.030303030303030304,0.006665641183407681,8.03040322036959e-06,92,31,101
Benin,0.010101010101010102,0.0065118186945598115,4.431870787744146e-08,123,32,127
Thailand,0.010101010101010102,0.0065118186945598115,2.7443350339830004e-07,123,32,124
Namibia,0.03535353535353536,0.006255447879813363,9.197384320506538e-06,88,34,95
Egypt,0.10606060606060606,0.006152899553914783,8.73335737338269e-05,50,35,62
Brunei,0.08585858585858587,0.006101625390965493,2.2449737744176446e-05,56,36,83
Kyrgyzstan,0.015151515151515152,0.0054863354355740145,0.0013943968617185654,111,37,58
Afghanistan,0.030303030303030304,0.005332512946726145,7.517530212817844e-05,92,38,70
Indonesia,0.06060606060606061,0.005281238783776855,6.984184545211188e-05,65,39,72
New Zealand,0.16666666666666669,0.005127416294928986,0.12334608444919375,28,40,29
Bangladesh,0.05555555555555556,0.005127416294928986,1.6072636426025342e-05,69,40,88
