country,community
Afghanistan,0
Albania,1
Algeria,2
Angola,0
Antigua & Barbuda,3
Argentina,4
Australia,5
Austria,5
Bahamas,6
Bahrain,2
Bangladesh,2
Barbados,8
Belarus,1
Belgium,5
Belize,9
Benin,0
Bhutan,10
Bolivia,4
Botswana,11
Brazil,4
Brunei,2
Bulgaria,1
Burkina Faso,7
Burundi,2
Cambodia,13
Cameroon,14
Canada,5
Cape Verde,0
Central African Republic,15
Chad,7
Chile,4
China,16
Colombia,4
Comoros,17
Congo,0
Costa Rica,4
Cuba,0
Cyprus,18
Czechoslovakia,1
Democratic Republic of the Congo,19
Denmark,5
Djibouti,20
Dominica,21
Dominican Republic,4
Ecuador,4
Egypt,2
El Salvador,4
Equatorial Guinea,22
Estonia,5
Ethiopia,0
Federated States of Micronesia,1
Fiji,24
Finland,5
France,5
Gabon,7
Gambia,25
German Democratic Republic,1
German Federal Republic,5
Germany,5
Ghana,26
Greece,5
Grenada,27
Guatemala,4
Guinea,2
Guinea-Bissau,0
Guyana,28
Haiti,4
Honduras,4
Hungary,1
Iceland,5
India,29
Indonesia,2
Iran,2
Iraq,2
Ireland,5
Israel,30
Italy,5
Ivory Coast,31
Jamaica,32
Japan,5
Jordan,2
Kenya,2
Kuwait,2
Laos,0
Latvia,5
Lebanon,2
Lesotho,11
Liberia,33
Libya,2
Liechtenstein,5
Lithuania,5
Luxembourg,5
Madagascar,0
Malawi,34
Malaysia,2
Maldives,2
Mali,2
Malta,1
Marshall Islands,1
Mauritania,2
Mauritius,35
Mexico,4
Mongolia,1
Morocco,2
Mozambique,0
Myanmar,2
Namibia,2
Nepal,2
Netherlands,5
New Zealand,5
Nicaragua,4
Niger,7
Nigeria,2
North Korea,2
Norway,5
Oman,2
Pakistan,2
Panama,4
Papua New Guinea,36
Paraguay,4
Peru,4
Philippines,2
Poland,1
Portugal,5
Qatar,2
Romania,1
Russia,1
Rwanda,37
Samoa,1
Sao Tome and Principe,0
Saudi Arabia,2
Senegal,38
Seychelles,0
Sierra Leone,39
Singapore,40
Solomon Islands,1
Somalia,2
South Africa,5
South Korea,5
Spain,5
Sri Lanka,2
St. Kitts and Nevis,27
St. Lucia,27
St. Vincent and the Grenadines,27
Sudan,2
Suriname,41
Swaziland,42
Sweden,5
Syria,2
Taiwan,5
Tanzania,2
Thailand,2
Togo,37
Trinidad and Tobago,2
Tunisia,2
Turkey,43
Uganda,2
Ukraine,1
United Arab Emirates,2
United Kingdom,5
United States of America,12
Uruguay,4
Vanuatu,23
Venezuela,4
Vietnam,0
Yemen,2
Yemen Arab Republic,2
Yemen People's Republic,0
Yugoslavia,2
Zambia,2
Zimbabwe,2
