country,community
Afghanistan,2
Albania,1
Algeria,2
Andorra,1
Angola,2
Antigua & Barbuda,2
Argentina,3
Armenia,4
Australia,1
Austria,1
Azerbaijan,5
Bahamas,2
Bahrain,2
Bangladesh,2
Barbados,2
Belarus,2
Belgium,1
Belize,6
Benin,2
Bhutan,7
Bolivia,8
Bosnia and Herzegovina,1
Botswana,2
Brazil,9
Brunei,2
Bulgaria,1
Burkina Faso,2
Burundi,10
Cambodia,2
Cameroon,11
Canada,1
Cape Verde,2
Central African Republic,12
Chad,2
Chile,13
China,2
Colombia,14
Comoros,2
Congo,2
Costa Rica,15
Croatia,1
Cuba,2
Cyprus,1
Czech Republic,1
Democratic Republic of the Congo,2
Denmark,1
Djibouti,2
Dominica,2
Dominican Republic,16
East Timor,17
Ecuador,8
Egypt,2
El Salvador,18
Equatorial Guinea,19
Eritrea,2
Estonia,1
Ethiopia,2
Federated States of Micronesia,20
Fiji,21
Finland,1
France,1
Gabon,2
Gambia,2
Georgia,1
Germany,1
Ghana,2
Greece,1
Grenada,22
Guatemala,23
Guinea,2
Guinea-Bissau,2
Guyana,2
Haiti,24
Honduras,25
Hungary,1
Iceland,1
India,7
Indonesia,2
Iran,2
Iraq,2
Ireland,1
Israel,20
Italy,1
Ivory Coast,26
Jamaica,2
Japan,1
Jordan,2
Kazakhstan,5
Kenya,2
Kiribati,27
Kuwait,2
Kyrgyzstan,5
Laos,2
Latvia,1
Lebanon,2
Lesotho,2
Liberia,28
Libya,2
Liechtenstein,1
Lithuania,1
Luxembourg,1
Macedonia,1
Madagascar,29
Malawi,30
Malaysia,2
Maldives,2
Mali,2
Malta,1
Marshall Islands,20
Mauritania,2
Mauritius,31
Mexico,32
Moldova,1
Monaco,1
Mongolia,33
Montenegro,1
Morocco,2
Mozambique,2
Myanmar,2
Namibia,2
Nauru,34
Nepal,2
Netherlands,1
New Zealand,1
Nicaragua,8
Niger,2
Nigeria,2
North Korea,2
Norway,1
Oman,2
Pakistan,2
Palau,20
Panama,35
Papua New Guinea,36
Paraguay,37
Peru,23
Philippines,2
Poland,1
Portugal,1
Qatar,2
Romania,1
Russia,38
Rwanda,39
Samoa,40
San Marino,1
Sao Tome and Principe,2
Saudi Arabia,2
Senegal,2
Seychelles,41
Sierra Leone,2
Singapore,2
Slovakia,1
Slovenia,1
Solomon Islands,42
Somalia,2
South Africa,2
South Korea,1
South Sudan,43
Spain,1
Sri Lanka,2
St. Kitts and Nevis,2
St. Lucia,2
St. Vincent and the Grenadines,2
Sudan,2
Suriname,2
Swaziland,2
Sweden,1
Switzerland,1
Syria,2
Tajikistan,5
Tanzania,2
Thailand,44
Togo,2
Tonga,45
Trinidad and Tobago,2
Tunisia,2
Turkey,1
Turkmenistan,2
Tuvalu,46
Uganda,2
Ukraine,1
United Arab Emirates,2
United Kingdom,1
United States of America,20
Uruguay,47
Uzbekistan,5
Vanuatu,0
Venezuela,2
Vietnam,2
Yemen,2
Yugoslavia,1
Zambia,2
Zimbabwe,2
