country,community
Afghanistan,0
Albania,1
Algeria,0
Andorra,1
Angola,0
Antigua & Barbuda,3
Argentina,1
Armenia,4
Australia,1
Austria,1
Azerbaijan,0
Bahamas,6
Bahrain,0
Bangladesh,0
Barbados,6
Belarus,7
Belgium,1
Belize,8
Benin,0
Bhutan,9
Bolivia,10
Bosnia and Herzegovina,1
Botswana,11
Brazil,12
Brunei,0
Bulgaria,1
Burkina Faso,0
Burundi,0
Cambodia,0
Cameroon,0
Canada,1
Cape Verde,0
Central African Republic,0
Chad,0
Chile,14
China,0
Colombia,15
Comoros,0
Congo,0
Costa Rica,16
Croatia,1
Cuba,0
Cyprus,1
Czech Republic,1
Czechoslovakia,1
Democratic Republic of the Congo,0
Denmark,1
Djibouti,0
Dominica,17
Dominican Republic,18
Ecuador,19
Egypt,0
El Salvador,20
Equatorial Guinea,0
Eritrea,0
Estonia,1
Ethiopia,0
Federated States of Micronesia,21
Fiji,22
Finland,1
France,1
Gabon,0
Gambia,0
Georgia,1
Germany,1
Ghana,0
Greece,1
Grenada,23
Guatemala,24
Guinea,0
Guinea-Bissau,0
Guyana,25
Haiti,26
Honduras,27
Hungary,1
Iceland,1
India,0
Indonesia,0
Iran,0
Iraq,0
Ireland,1
Israel,21
Italy,1
Ivory Coast,29
Jamaica,30
Japan,1
Jordan,0
Kazakhstan,31
Kenya,0
Kuwait,0
Kyrgyzstan,1
Laos,0
Latvia,1
Lebanon,0
Lesotho,32
Liberia,0
Libya,0
Liechtenstein,1
Lithuania,1
Luxembourg,1
Macedonia,1
Madagascar,33
Malawi,34
Malaysia,0
Maldives,0
Mali,0
Malta,1
Marshall Islands,21
Mauritania,0
Mauritius,35
Mexico,36
Moldova,1
Monaco,1
Mongolia,37
Morocco,0
Mozambique,0
Myanmar,0
Namibia,0
Nauru,21
Nepal,0
Netherlands,1
New Zealand,1
Nicaragua,38
Niger,0
Nigeria,0
North Korea,0
Norway,1
Oman,0
Pakistan,0
Palau,21
Panama,39
Papua New Guinea,40
Paraguay,41
Peru,42
Philippines,0
Poland,1
Portugal,1
Qatar,0
Romania,1
Russia,43
Rwanda,44
Samoa,21
San Marino,1
Sao Tome and Principe,45
Saudi Arabia,0
Senegal,0
Seychelles,33
Sierra Leone,0
Singapore,46
Slovakia,1
Slovenia,1
Solomon Islands,21
Somalia,0
South Africa,47
South Korea,1
Spain,1
Sri Lanka,0
St. Kitts and Nevis,48
St. Lucia,48
St. Vincent and the Grenadines,49
Sudan,0
Suriname,50
Swaziland,51
Sweden,1
Syria,0
Tajikistan,0
Tanzania,0
Thailand,0
Togo,0
Tonga,21
Trinidad and Tobago,0
Tunisia,0
Turkey,1
Turkmenistan,0
Tuvalu,21
Uganda,0
Ukraine,52
United Arab Emirates,0
United Kingdom,1
United States of America,21
Uruguay,13
Uzbekistan,28
Vanuatu,21
Venezuela,5
Vietnam,0
Yemen,0
Yugoslavia,1
Zambia,2
Zimbabwe,0
