country,delta_S,rank
Malaysia,0.02010050251256279,1
Turkmenistan,0.02010050251256279,2
Cape Verde,0.015075376884422176,3
Italy,0.01005025125628145,4
North Korea,0.01005025125628145,5
Benin,0.01005025125628145,6
Angola,0.01005025125628145,7
Thailand,0.01005025125628145,8
Niger,0.01005025125628145,9
Somalia,0.01005025125628145,10
Germany,0.005025125628140725,11
Bangladesh,0.005025125628140725,12
Belgium,0.005025125628140725,13
Belarus,0.005025125628140725,14
Austria,0.005025125628140725,15
Bosnia and Herzegovina,0.005025125628140725,16
Greece,0.005025125628140725,17
Azerbaijan,0.005025125628140725,18
Australia,0.005025125628140725,19
Bulgaria,0.005025125628140725,20
Burkina Faso,0.005025125628140725,21
Brunei,0.005025125628140725,22
Bahrain,0.005025125628140725,23
Congo,0.005025125628140725,24
China,0.005025125628140725,25
Comoros,0.005025125628140725,26
Burundi,0.005025125628140725,27
Gabon,0.005025125628140725,28
France,0.005025125628140725,29
Georgia,0.005025125628140725,30
Egypt,0.005025125628140725,31
Djibouti,0.005025125628140725,32
Chad,0.005025125628140725,33
Cambodia,0.005025125628140725,34
Canada,0.005025125628140725,35
Czech Republic,0.005025125628140725,36
Cyprus,0.005025125628140725,37
Cuba,0.005025125628140725,38
Croatia,0.005025125628140725,39
Finland,0.005025125628140725,40
Ethiopia,0.005025125628140725,41
German Democratic Republic,0.005025125628140725,42
German Federal Republic,0.005025125628140725,43
Gambia,0.005025125628140725,44
Eritrea,0.005025125628140725,45
Estonia,0.005025125628140725,46
Macedonia,0.005025125628140725,47
Montenegro,0.005025125628140725,48
Mongolia,0.005025125628140725,49
Monaco,0.005025125628140725,50
Moldova,0.005025125628140725,51
Laos,0.005025125628140725,52
Libya,0.005025125628140725,53
Liechtenstein,0.005025125628140725,54
Lithuania,0.005025125628140725,55
Guinea-Bissau,0.005025125628140725,56
Hungary,0.005025125628140725,57
Guinea,0.005025125628140725,58
Kyrgyzstan,0.005025125628140725,59
Kuwait,0.005025125628140725,60
Lebanon,0.005025125628140725,61
Latvia,0.005025125628140725,62
Ireland,0.005025125628140725,63
Iran,0.005025125628140725,64
Denmark,0.005025125628140725,65
Czechoslovakia,0.005025125628140725,66
Democratic Republic of the Congo,0.005025125628140725,67
Algeria,0.005025125628140725,68
Andorra,0.005025125628140725,69
Albania,0.005025125628140725,70
Afghanistan,0.005025125628140725,71
Zambia,0.005025125628140725,72
Yugoslavia,0.005025125628140725,73
Zimbabwe,0.005025125628140725,74
Vietnam,0.005025125628140725,75
Yemen,0.005025125628140725,76
Uganda,0.005025125628140725,77
Ukraine,0.005025125628140725,78
Tunisia,0.005025125628140725,79
Syria,0.005025125628140725,80
Taiwan,0.005025125628140725,81
Tanzania,0.005025125628140725,82
Tajikistan,0.005025125628140725,83
Sweden,0.005025125628140725,84
Switzerland,0.005025125628140725,85
Seychelles,0.005025125628140725,86
Romania,0.005025125628140725,87
Yemen People's Republic,0.005025125628140725,88
Yemen Arab Republic,0.005025125628140725,89
Turkey,0.005025125628140725,90
Slovakia,0.005025125628140725,91
Sudan,0.005025125628140725,92
Sri Lanka,0.005025125628140725,93
Senegal,0.005025125628140725,94
Saudi Arabia,0.005025125628140725,95
Portugal,0.005025125628140725,96
Madagascar,0.005025125628140725,97
Maldives,0.005025125628140725,98
Mali,0.005025125628140725,99
Luxembourg,0.005025125628140725,100
Iraq,0.005025125628140725,101
